arm,seed,composition,verdict
B,10437269212292536268,7,keep
A,7660241846136947445,r,reject
C-locked,15117054768125623893,4,reject
B,6945971110028161573,8,keep
C-random,6288830907667051215,r,keep
C-locked,682316040270551926,8,reject
A,15079615354437905926,r,keep
B,7708402475844064720,4,keep
C-locked,9289740462966565582,6,reject
C-random,12539594097895364313,r,reject
A,3931338587571413878,r,keep
C-random,3180811087071762080,r,keep
C-locked,11117960029861607836,4,keep
B,14517380652883143586,1,reject
A,459791071265108248,r,keep
C-locked,9564827748403995109,1,keep
B,4272353595042291607,2,keep
C-random,14517788449531194464,r,keep
A,9039969125541099270,r,keep
B,12627397392948236530,1,reject
C-random,7627612094397457449,r,reject
A,11862571051718059453,r,reject
C-locked,4610378467546168838,5,keep
B,2112865922332173467,3,reject
C-locked,12972728521069370880,7,reject
A,1088027546478379274,r,reject
C-random,2769224387330464234,r,reject
B,4285648905907605117,4,keep
C-locked,7011195638658319199,8,reject
A,5927274251929618256,r,reject
C-random,16535831543013758892,r,keep
C-random,15218758156957109700,r,keep
C-locked,15736060889780488835,6,keep
A,4494251250453910890,r,reject
C-locked,10730650793466288907,8,reject
C-random,6510162216645981803,r,reject
B,18152565854160154523,3,reject
A,13612746524818501334,r,reject
C-random,10371750737058072282,r,keep
B,7620485623828427050,5,keep
C-locked,18286232637724439316,7,reject
A,1843479947060764895,r,keep
A,4791717382248557122,r,keep
C-random,12483621488401993241,r,reject
